eval_id,spearman_corr,spearman_p_value,kendall_corr,kendall_p_value,top1_recall,top3_recall,top5_recall,top1_hit_in_top3,top1_hit_in_top5,top3_hit_in_top5
0,0.8099290780141843,9.314832740581997e-12,0.6270531400966184,8.00489368305286e-10,1.0,0.3333333333333333,0.6,1,1,1
1,0.5957013786791051,1.2569513674834521e-05,0.4330594995912555,2.216135691387867e-05,0.0,0.3333333333333333,0.4,0,0,1
2,0.724127298774535,1.2878166254221406e-08,0.5483561558632624,7.920805033820955e-08,0.0,0.0,0.4,0,1,1
3,0.7371569534381744,5.156489821388937e-09,0.5768115942028986,1.5814310268551007e-08,0.0,1.0,0.8,1,1,1
4,0.919827320382362,1.7087827500611748e-19,0.7661835748792271,5.992555821862444e-14,0.0,0.6666666666666666,0.8,1,1,1
5,0.78945420906568,7.052738172549352e-11,0.621256038647343,1.1431444212754388e-09,0.0,0.6666666666666666,1.0,1,1,1
6,0.7023343307172223,5.333251374186757e-08,0.5490575798389132,7.525456481075496e-08,0.0,0.0,0.6,0,0,1
7,0.8923219241443108,8.424238513027008e-17,0.7256038647342996,1.155546141383228e-12,0.0,0.6666666666666666,1.0,1,1,1
8,0.8827012025901941,4.999699867195452e-16,0.7236714975845411,1.325264442079218e-12,0.0,1.0,0.8,1,1,1
9,0.8839002131927669,4.0392638372325766e-16,0.7114548921856341,3.194919744754243e-12,0.0,0.6666666666666666,1.0,0,1,1
10,0.45329797425110496,0.0015581464362080953,0.3209280220185197,0.0016690202725362562,0.0,0.3333333333333333,0.4,0,1,1
11,0.6880473677820212,1.2664393858375268e-07,0.517408365761632,4.064424549006819e-07,0.0,0.3333333333333333,0.4,0,1,1
12,0.8777674992291088,1.174420742845273e-15,0.7082125603864735,3.916691974265444e-12,0.0,0.3333333333333333,0.2,0,0,1
13,0.724351660895133,1.2682338068473423e-08,0.5780570999008277,1.4943701870613364e-08,0.0,0.3333333333333333,0.4,0,0,1
14,0.8031083293466517,1.8767110381231242e-11,0.6341228386871955,5.251928367577139e-10,0.0,0.3333333333333333,0.4,0,0,1
15,0.8053654024051804,1.4929596591502196e-11,0.6270531400966184,8.00489368305286e-10,0.0,0.3333333333333333,0.8,0,0,1
16,0.7870116257712041,8.846460424782137e-11,0.6244563319998908,9.553282259211892e-10,1.0,0.6666666666666666,0.8,1,1,1
17,0.8238667900092507,2.0318025005940608e-12,0.6541062801932368,1.4557808626923405e-10,0.0,1.0,0.6,1,1,1
18,0.8970089423373419,3.325070953579635e-17,0.7449275362318841,2.8788528583639575e-13,1.0,1.0,0.8,1,1,1
19,0.8739438791242676,2.2204424346812306e-15,0.6985507246376812,7.622319130142658e-12,1.0,0.3333333333333333,0.8,1,1,1
20,0.5568644391989844,5.8387531790966835e-05,0.42069652169403726,3.8049487416212664e-05,0.0,0.3333333333333333,0.2,0,0,1
21,0.8406673043560288,2.6881246880751864e-13,0.6766554681113367,3.402577268501587e-11,1.0,0.6666666666666666,0.8,1,1,1
22,0.8072155411655874,1.2349366977341627e-11,0.6289855072463768,7.103452076487823e-10,0.0,0.6666666666666666,0.6,1,1,1
23,0.5246245435224921,0.00018203639642246997,0.37929406180429653,0.00020561604762815786,0.0,0.0,0.4,0,0,0
24,0.8371877890841813,4.1636196833101175e-13,0.6599033816425122,1.0013463709740305e-10,0.0,0.3333333333333333,0.6,1,1,1
25,0.7994449583718779,2.7037180161643007e-11,0.6135265700483092,1.829360634110807e-09,0.0,0.6666666666666666,0.4,1,1,1
26,0.7915998534853211,5.765510923160799e-11,0.6063832623038192,2.90172404073696e-09,0.0,0.3333333333333333,0.2,0,0,1
27,0.8640764724020967,1.0488867142498733e-14,0.7024154589371981,5.846264469388702e-12,1.0,0.6666666666666666,0.8,1,1,1
28,0.8030218933086648,1.8931135566473955e-11,0.6309178743961353,6.301314773650868e-10,0.0,0.6666666666666666,0.8,0,0,1
29,0.8489053345667591,9.139060109902187e-14,0.6753623188405798,3.6350517579131904e-11,1.0,0.6666666666666666,0.8,1,1,1
30,0.7102682701202591,3.2270623706839625e-08,0.5381642512077295,1.3365626660849592e-07,1.0,0.3333333333333333,0.6,1,1,1
31,0.8321307431390688,7.724340817007344e-13,0.6541062801932368,1.4557808626923405e-10,1.0,0.6666666666666666,0.8,1,1,1
32,0.6307317527436804,2.6213708234458093e-06,0.4620590196531699,6.011642536849442e-06,0.0,1.0,0.6,1,1,1
33,0.7370173937786979,5.208760914079548e-09,0.5502903927446142,7.130100127011085e-08,0.0,0.0,0.0,0,0,0
34,0.5584852153299042,5.4971207530842486e-05,0.4296085802069073,2.6174693528970493e-05,0.0,0.0,0.0,0,0,0
35,0.884270252355421,3.78012051007053e-16,0.7288546042227827,9.380297919000072e-13,1.0,0.6666666666666666,0.8,1,1,1
36,0.8354609929078014,5.153846901913285e-13,0.6657004830917875,6.865948689653545e-11,1.0,0.6666666666666666,0.4,1,1,1
37,0.7815602836879432,1.4516508561440233e-10,0.6270531400966184,8.00489368305286e-10,0.0,0.0,0.4,0,1,1
38,0.31744171763840656,0.031579995378330436,0.2659575711858856,0.009214942602559516,0.0,0.0,0.2,0,0,0
39,0.6721554116558742,3.1350715928436015e-07,0.4705314009661836,4.007559502059384e-06,1.0,0.3333333333333333,0.4,1,1,1
40,0.8782608695652174,1.0800902300921018e-15,0.6966183574879228,8.69885915898128e-12,0.0,0.6666666666666666,0.4,1,1,1
41,0.6865864939870491,1.3797421209429286e-07,0.49371980676328503,1.310034136147172e-06,0.0,0.0,0.2,0,0,0
42,0.9278445883441259,1.8291889725076184e-20,0.7816425120772947,1.863173978172736e-14,1.0,1.0,0.6,1,1,1
43,0.8605877459455672,1.7645205020935407e-14,0.6959884814859464,9.271909048814517e-12,0.0,0.6666666666666666,0.6,0,1,1
44,0.9276881807734859,1.9153197860868e-20,0.7965201510339164,6.088208062861577e-15,1.0,0.6666666666666666,0.6,1,1,1
45,0.9295713845205058,1.0929761622529861e-20,0.799033816425121,4.872434892165411e-15,1.0,0.6666666666666666,0.8,1,1,1
46,0.9533765032377428,1.6000678636014585e-24,0.8260869565217391,5.713757038313027e-16,0.0,0.6666666666666666,0.8,0,1,1
47,0.942522355843355,1.4298989911661606e-22,0.8106280193236716,1.9611228948024796e-15,1.0,0.6666666666666666,0.6,1,1,1
48,0.8486586493987048,9.447828242837488e-14,0.6753623188405798,3.6350517579131904e-11,0.0,0.6666666666666666,0.6,1,1,1
49,0.6449165873120822,1.3130100203981757e-06,0.4620590196531699,6.011642536849442e-06,0.0,0.3333333333333333,0.2,1,1,1
50,0.7851372186247302,1.0505724407202353e-10,0.6077294685990339,2.593294513752466e-09,0.0,0.0,0.4,0,1,1
51,0.8801110083256244,7.864720474937795e-16,0.7082125603864735,3.916691974265444e-12,1.0,0.6666666666666666,0.4,1,1,1
52,0.4144927536231884,0.00418437713781561,0.3294685990338165,0.001243804627788794,0.0,0.0,0.2,0,0,0
53,0.7530913691945909,1.5611903612192971e-09,0.5432576758265304,1.0300577263222094e-07,0.0,0.0,0.0,0,0,0
54,0.8801110083256244,7.864720474937795e-16,0.7159420289855074,2.2847262364297595e-12,0.0,0.3333333333333333,0.8,1,1,1
55,0.8185630588960839,3.6825416195972665e-12,0.6405797101449275,3.4431552930598735e-10,1.0,0.3333333333333333,0.6,1,1,1
56,0.8567992599444958,3.0558652763262225e-14,0.6618357487922706,8.833013234013512e-11,0.0,0.0,0.4,0,0,1
57,0.8877582485353068,2.000624398497898e-16,0.7429951690821257,3.313332089997252e-13,0.0,0.6666666666666666,0.8,1,1,1
58,0.8619796484736355,1.4362748754746154e-14,0.6966183574879228,8.69885915898128e-12,0.0,0.3333333333333333,0.4,0,0,1
